Game,Platform,Score,Genre
Wolfenstein:,Xbox One,7.8,Shooter
Mario Kart 8,Wii U,9,"Racing, Action"
Sportsfriends,PlayStation 3,8.7,"Action, Compilation"
Sportsfriends,PlayStation 4,8.7,"Action, Compilation"
Sportsfriends,PC,8.7,"Action, Compilation"
Super TIME F,Xbox One,7.5,Shooter
Super TIME F,Xbox 360,7.5,Shooter
The Walking,PC,9,Adventure
Borderlands,PlayStation V,5.4,"Shooter, RPG"
Bound by Fla,PC,7,"Action, RPG"
Bound by Fla,PlayStation 4,7,"Action, RPG"
God of War C,PlayStation V,6.3,Compilation
Outlast: Whi,PC,6.4,"Action, Adventure"
Outlast: Whi,PlayStation 4,6.4,"Action, Adventure"
Tesla Effect:,PC,6.8,Adventure
JoJo's Bizarre,PlayStation 3,7.4,Fighting
The Amazing,iPhone,4.5,Action
"Sir, You are B",PC,7.7,Shooter
Republique --,iPhone,7.5,Adventure
The Amazing,PlayStation 4,5.4,Action
The Amazing,Wii U,5.4,Action
The Amazing,Xbox One,5.4,Action
The Amazing,PC,5.4,Action
The Amazing,PlayStation 3,5.4,Action
The Amazing,Xbox 360,5.4,Action
Starlight Ince,PlayStation V,3.8,Action
Wargame: R,PC,7.6,Strategy
Daylight,PC,5.8,Adventure
Daylight,PlayStation 4,5.8,Adventure
Child of Light,PlayStation 3,9.3,RPG
Child of Light,PlayStation 4,9.3,RPG
Child of Light,Wii U,9.3,RPG
Child of Light,Xbox One,9.3,RPG
Child of Light,PC,9.3,RPG
Child of Light,Xbox 360,9.3,RPG
The Last Fed,PC,6.9,Strategy
Kirby: Triple,Nintendo 3DS,6,Platformer
Batman: Arkh,PC,7,Action
FTL: Faster T,iPad,9.6,Simulation
FTL: Faster T,PC,9.6,Simulation
Mercenary Ki,PlayStation 4,8,Action
Mercenary Ki,PC,8,Action
Mario Golf W,Nintendo 3DS,8.6,"Sports, Action"
NES Remix 2,Wii U,7.7,Party
War of the Vi,PC,3.5,None
LEGO: The H,Nintendo 3DS,7,Adventure
2014 FIFA W,PlayStation 3,7.5,Sports
2014 FIFA W,Xbox 360,7.5,Sports
Trials Fusion,PC,8.2,"Racing, Action"
Trials Fusion ,Xbox 360,8.2,"Racing, Action"
Trials Fusion,Xbox One,8.2,"Racing, Action"
Trials Fusion,PlayStation 4,8.2,"Racing, Action"
Boom Beach,iPhone,7,None
RBI Baseball,PlayStation 3,4.5,Baseball
Pure Chess,PlayStation V,6,Board
Pure Chess,PlayStation 3,6,Board
Pure Chess,Wii U,6,Board
Pure Chess,PlayStation 4,6,Board
Football Man,PlayStation V,7.5,"Sports, Simulation"
MLB 14: The,PlayStation V,7.1,"Sports, Baseball"
LEGO: The H,PlayStation 4,7.4,Adventure
LEGO: The H,Xbox One,7.4,Adventure
The Wolf Am,PlayStation 3,9.2,Adventure
The Wolf Am,PC,9.2,Adventure
The Wolf Am,Xbox 360,9.2,Adventure
Kinect Sports,Xbox One,7.3,"Sports, Party"
Don Bradma,PlayStation 3,6.8,"Sports, Simulation"
Don Bradma,Xbox 360,6.8,"Sports, Simulation"
